Case_ID,Date_Reported,Region,Country,Pollutant_Type,Total_Concentration_mg_kg,Bioavailable_Concentration_mg_kg,Soil_pH,Soil_Texture,Soil_Organic_Matter_%,CEC_meq_100g,Temperature_C,Humidity_%,Rainfall_mm,Crop_Type,Farming_Practice,Nearby_Industry,Distance_from_Source_km,Years_Since_Contamination,Water_Source_Type,Disease_Type,Disease_Severity,Health_Symptoms,Age_Group_Affected,Gender_Most_Affected,Mitigation_Measure,Case_Resolved,Follow_Up_Required
CASE_100074,11/15/2023,North America,Mexico,Arsenic,89.62,1.21,6.32,Clay,7.79,30,25.6,90.4,381.2,Rice,Integrated,Mining,1.16,32,River,Diabetes,Mild,Hyperpigmentation,Adults,Female,Soil Remediation,No,Yes
CASE_100075,9/2/2024,Asia,Vietnam,Chromium,927.14,65.81,5.77,Clay,3.21,30,11.6,81.1,1347.1,Soybean,Conventional,Tannery,0.29,8,Well,Respiratory Issues,Mild,Dermatitis,Adults,Both,Chemical Neutralization,Yes,Yes
CASE_100076,10/19/2025,Europe,Spain,Arsenic,30.56,8.39,6.21,Sandy,2.54,4,13.2,54.7,501.4,Corn,Organic,Agriculture,0.74,39,Irrigation Canal,Cancer,Mild,Skin Lesions,Adults,Both,None,Yes,Yes
CASE_100077,1/2/2023,Africa,Tanzania,Cadmium,7.92,0.1,7.03,Silty,5.58,16,9.7,90.5,1053.2,Rice,Organic,Agriculture,0.77,38,Borehole,Kidney Disease,Mild,Fatigue,Adults,Female,Government Regulation,No,Yes
CASE_100078,4/11/2025,South America,Brazil,Chromium,347.56,181.93,5.17,Sandy,1.83,4,36.5,31.4,511.7,Cotton,Permaculture,Chemical,0.07,15,River,Skin Disease,Moderate,Nasal Irritation,Children,Female,Government Regulation,No,Yes
CASE_100079,1/23/2024,North America,Mexico,Lead,33.87,5.93,7.25,Sandy,0.58,4,26.7,85.8,542.1,Potato,Organic,None,0,0,Well,None Detected,None,None,Children,Both,Community Awareness,No,Yes
CASE_100080,8/25/2023,North America,Mexico,Lead,1527.42,122.07,5.62,Clay,2.9,30,25.3,74,841.1,Wheat,Organic,E-waste,0.16,30,Borehole,Kidney Disease,Severe,Cognitive Impairment,Children,Female,Chemical Neutralization,No,Yes
CASE_100081,5/12/2025,North America,Mexico,Cadmium,40.35,5.37,4.9,Silty,3.58,16,5.4,64,705.9,Cotton,Integrated,Mining,1.47,28,River,Cancer,Severe,Fatigue,Elderly,Male,Soil Remediation,No,Yes
CASE_100082,11/29/2023,North America,USA,Cadmium,5.59,0.07,7.15,Loamy,5.65,12,5.3,63.2,806.7,Potato,Conventional,Agriculture,2.38,24,Rainwater,Cancer,Mild,Fatigue,Adults,Female,Community Awareness,No,Yes
CASE_100083,9/20/2025,Asia,Indonesia,Lead,152.27,5.14,5.21,Loamy,5.93,12,10,89.1,1746.3,Potato,Integrated,Smelting,6.75,31,Well,Kidney Disease,Mild,Cognitive Impairment,Adults,Both,None,Yes,No
CASE_100084,11/28/2022,Europe,Italy,Arsenic,26.93,2.98,7.88,Silty,3.01,16,0.2,45,598.2,Rice,Organic,Agriculture,2.23,20,River,Diabetes,Mild,Skin Lesions,Elderly,Male,Crop Rotation,Yes,Yes
CASE_100085,6/4/2025,Europe,Romania,Arsenic,239.4,25.26,5.23,Loamy,2.51,12,4.9,33.2,698.4,Cotton,Integrated,Chemical,1.14,22,River,Skin Disease,Moderate,Skin Lesions,Elderly,Male,Chemical Neutralization,Yes,Yes
CASE_100086,8/17/2025,Africa,Egypt,Arsenic,12.69,0.24,6.9,Clay,5.79,30,31.5,33.4,1453.3,Wheat,Integrated,Agriculture,2.69,32,Rainwater,Cardiovascular Disease,Mild,Nausea,Children,Female,Community Awareness,No,Yes
CASE_100087,6/21/2023,Europe,Romania,Lead,49.88,18.15,6.26,Sandy,0.71,4,17.6,64.7,267.1,Soybean,Integrated,None,0,0,River,Anemia,Mild,Abdominal Pain,Adults,Male,Soil Remediation,No,Yes
CASE_100088,8/13/2023,Europe,France,Lead,1799.04,299.07,5.38,Silty,2.36,16,16.5,62.4,265.7,Vegetables,Conventional,Battery,0.05,15,Borehole,Neurological Disorder,Severe,Abdominal Pain,Children,Both,Chemical Neutralization,No,Yes
CASE_100089,8/21/2023,Australia,New Zealand,Chromium,981.05,326.24,6.5,Sandy,0.89,4,39.5,91,748,Barley,Integrated,Tannery,0.13,26,Well,Skin Disease,Severe,Dermatitis,Adults,Female,Government Regulation,No,Yes
CASE_100090,12/4/2023,South America,Brazil,Lead,3158.47,272.15,6.9,Silty,2.2,16,31.4,22,422,Potato,Organic,Battery,0.03,20,Well,Neurological Disorder,Severe,Memory Loss,Adults,Both,Soil Remediation,No,Yes
CASE_100091,4/13/2023,Africa,Ethiopia,Cadmium,0.33,0.04,6.92,Loamy,1.59,12,37,33.4,1083.3,Cotton,Organic,None,0,0,River,None Detected,None,None,Elderly,Both,Soil Remediation,Yes,No
CASE_100092,7/26/2025,South America,Colombia,Chromium,310.63,16.48,5.2,Silty,5.35,16,20.9,70.1,405,Potato,Organic,Chemical,0.37,37,Borehole,Cancer,Mild,Nasal Irritation,Children,Both,Phytoremediation,No,Yes
CASE_100093,4/16/2023,Africa,Ghana,Lead,520.58,19.07,6.53,Clay,4.53,30,37.7,45.6,611.3,Cotton,Conventional,Mining,3.1,30,Borehole,Neurological Disorder,Mild,Memory Loss,Elderly,Both,Community Awareness,No,Yes
CASE_100094,4/21/2025,South America,Colombia,Mercury,0.21,0.12,4.95,Sandy,1.45,4,15.7,66.8,609.4,Soybean,Integrated,None,0,0,Irrigation Canal,None Detected,None,None,Children,Male,Government Regulation,No,Yes
CASE_100095,8/3/2025,Africa,Ethiopia,Lead,842.34,236.17,5.66,Sandy,2.67,4,40.8,80,260.9,Barley,Organic,Mining,0.14,12,Borehole,Anemia,Severe,Cognitive Impairment,Children,Female,Chemical Neutralization,No,Yes
CASE_100096,2/27/2025,Australia,New Zealand,Arsenic,67.57,3.39,4.49,Clay,3.55,30,38.4,93.8,930.8,Corn,Integrated,Mining,2.35,7,Well,Cancer,Mild,Numbness,Elderly,Female,Crop Rotation,No,Yes
CASE_100097,2/25/2024,South America,Venezuela,Chromium,74.86,10,5.66,Silty,1.58,16,9.7,63.2,474.1,Vegetables,Integrated,None,0,0,River,Skin Disease,Mild,Nasal Irritation,Elderly,Both,Phytoremediation,Yes,No
CASE_100098,12/6/2022,Europe,UK,Chromium,946.29,138.69,5.88,Loamy,1.55,12,31.5,85.5,797.4,Corn,Organic,Tannery,0.1,32,Well,Skin Disease,Moderate,Rash,Adults,Both,Crop Rotation,No,Yes
CASE_100099,7/20/2024,Asia,South Korea,Chromium,74.86,3.61,7.87,Loamy,2.29,12,21.8,48.7,1061.9,Vegetables,Organic,None,0,0,River,Respiratory Issues,Mild,Nasal Irritation,Children,Male,Government Regulation,No,Yes
CASE_100100,1/24/2023,North America,Mexico,Chromium,982.22,118.22,4.92,Loamy,4.21,12,13.6,41.7,555.7,Cotton,Permaculture,Tannery,0.36,29,Well,Cancer,Moderate,Nasal Irritation,Adults,Female,Government Regulation,No,Yes
CASE_100101,4/22/2025,South America,Peru,Chromium,48.56,5.82,5.22,Loamy,4.05,12,31.5,90.3,932.6,Corn,Integrated,None,0,0,Well,None Detected,None,None,Elderly,Female,Community Awareness,No,Yes
CASE_100102,1/25/2023,Australia,Australia,Chromium,1026.31,67.83,5.6,Silty,4.19,16,35.8,28,54.3,Corn,Permaculture,Tannery,0.49,11,Well,Cancer,Mild,Breathing Difficulty,Children,Male,Government Regulation,Yes,No
CASE_100103,4/3/2023,Africa,Kenya,Lead,3083.35,116.14,6.07,Silty,5.1,16,15.9,64.3,733.2,Wheat,Integrated,Battery,0.07,6,River,Anemia,Severe,Cognitive Impairment,Children,Both,Soil Remediation,No,Yes
CASE_100104,3/12/2024,North America,Mexico,Arsenic,144.13,50.59,7.06,Sandy,1.85,4,25.6,80.5,858.8,Soybean,Organic,Mining,1.5,6,Irrigation Canal,Diabetes,Severe,Skin Lesions,Elderly,Female,Soil Remediation,No,Yes
CASE_100105,7/14/2024,Asia,China,Lead,247.52,14.78,6.63,Clay,3.08,30,41.6,22.5,1410,Wheat,Permaculture,Smelting,4.12,40,Irrigation Canal,Kidney Disease,Mild,Fatigue,Adults,Female,Government Regulation,Yes,No
CASE_100106,7/3/2025,South America,Peru,Lead,234.1,6.21,6.88,Silty,5.3,16,38.2,22.8,796.3,Rice,Permaculture,Smelting,3.58,6,Rainwater,Developmental Disorder,Mild,Abdominal Pain,Children,Female,Crop Rotation,Yes,No
CASE_100107,9/4/2025,Africa,Kenya,Cadmium,5.75,0.29,7.46,Silty,1.79,16,26.6,79.3,682.5,Potato,Organic,Agriculture,1.12,7,Borehole,Cancer,Mild,Bone Pain,Adults,Male,Soil Remediation,No,Yes
CASE_100108,1/9/2024,Africa,Kenya,Arsenic,162.83,72.75,7.09,Sandy,0.56,4,5.9,85.6,322.1,Vegetables,Permaculture,Mining,1.01,13,Lake,Cancer,Severe,Numbness,Children,Female,Soil Remediation,No,Yes
